Educational attainment;Median usual weekly earnings;;;;;
Less than a High school diploma;$520,00;;;;;
High school diploma, no college;$712,00;;;;;
Some college, no degree;$774,00;;;;;
Associate degree;$836,00;;;;;
Bachelor’s degree;$1173,00;;;;;
Master’s degree;$1401,00;;;;;
Doctoral degree;$1743,00;;;;;
Professional degree;$1836,00;;;;;
